key	enmed	demed	demedlatin
thumb_left	Thumb left	Daumen links	Pollex links
thumb_right	Thumb right	Daumen rechts	Pollex rechts
index_finger_left	Index finger left	Zeigefinger links	Index links
index_finger_right	Index finger right	Zeigefinger rechts	Index rechts
middle_finger_left	Middle finger left	Mittelfinger links	Digitus medius links
middle_finger_right	Middle finger right	Mittelfinger rechts	Digitus medius rechts
ring_finger_left	Ring finger left	Ringfinger links	Digitus anularis links
ring_finger_right	Ring finger right	Ringfinger rechts	Digitus anularis rechts
little_finger_left	Little finger left	Kleiner Finger links	Digitus minimus links
little_finger_right	Little finger right	Kleiner Finger rechts	Digitus minimus rechts
hip_left	Hip left	Hüfte links	Regio coxae links
hip_right	Hip right	Hüfte rechts	Regio coxae rechts
thigh_front_left	Thigh, front left	Oberschenkel vorne links	Regio femoralis anterior links
thigh_front_right	Thigh, front right	Oberschenkel vorne rechts	Regio femoralis anterior rechts
thigh_back_left	Thigh, back left	Oberschenkel hinten links	Regio femoralis posterior links
thigh_back_right	Thigh, back right	Oberschenkel hinten rechts	Regio femoralis posterior rechts
knee_front_left	Knee left	Knie links	Regio genus anterior links
knee_front_right	Knee right	Knie rechts	Regio genus anterior rechts
knee_back_left	Back of knee left	Kniekehle links	Fossa poplitea links
knee_back_right	Back of knee right	Kniekehle rechts	Fossa poplitea rechts
shin_left	Shin left	Schienbein links	Regio cruris anterior links
shin_right	Shin right	Schienbein rechts	Regio cruris anterior rechts
calf_left	Calf left	Wade links	Regio suralis links
calf_right	Calf right	Wade rechts	Regio suralis rechts
ankle_left	Ankle left	Knöchel links	Regio talocruralis links
ankle_right	Ankle right	Knöchel rechts	Regio talocruralis rechts
foot_top_left	Top of foot left	Fußrücken links	Dorsum pedis links
foot_top_right	Top of foot right	Fußrücken rechts	Dorsum pedis rechts
heel_left	Heel left	Ferse links	Regio calcanea links
heel_right	Heel right	Ferse rechts	Regio calcanea rechts
big_toe_left	Big toe left	Große Zehe links	Hallux links
big_toe_right	Big toe right	Große Zehe rechts	Hallux rechts
toes_left	Toes left	Zehen links	Digiti pedis II–V links
toes_right	Toes right	Zehen rechts	Digiti pedis II–V rechts
foot_sole_left	Sole of foot left	Fußsohle links	Planta pedis links
foot_sole_right	Sole of foot right	Fußsohle rechts	Planta pedis rechts
